,Account,Post,Tag,Likes,Comments
50,elisabethtrision,"Happy 12th Anniversary! 
I love you over 10 years.

#FT12 #FTISLAND_12th_Anniversary
#FTISLAND #FT #PRIMADONNA # #LeeHongki #LeeJaejin #ChoiMinhwan #SongSeunghyun","['ft아일랜드데뷔12주년', 'ftisland_12th_anniversary', 'ftisland', 'ft아일랜드', 'primadonna', '프리마돈나', 'leehongki', 'leejaejin', 'choiminhwan', 'songseunghyun']",55,[]
51,elisabethtrision,#DoBigThings,['dobigthings'],89,['Tcakep']
52,elisabethtrision,"2019.04.06 - Ong Seong Wu 1st Fan Meeting Eternity in Singapore

Slide 1. Me before fanmeeting
2. Me after fanmeeting
3. Opening - Treasure
4. Popping dance (alasan yang bikin gue jatuh cinta sama ong)
5. Random Dance Wanna One (Ong lupa dancenya Burn It Up)
6. Please
7. Video Fan Project (ini pas last concert wanna one yang waktu itu gue....... backsound: Roy Kim- Home) trus crying together deh. maafin suara nangisku
8. Love This Moment (masih nangis bareng2)
9. Closing - Thats What I Like
10. End! Kaki panjangnyaaa & Thanks to my beloved handphone aku bisa dapet foto sebagus ini after edit2 dikit
.
.
well, mau banyak cerita. gue ini orang yang berani ngefans berani bertanggung jawab dan fans yang harus berani modal. 10 tahun kenal dunia kpopers, hanya berani ngidolain 2 artis aja. ini juga Ong baru 2 tahun terakhir kok. kenapa? biayanya gak murah uy

23/1 announce hanya 3 negara yang dikunjungin. Th, My & Sg. (Langsung memutuskan nonton di SG)
1/2 announce tanggal 6 april untuk di SG
19/2 announce seat plan, privilege & ticket open (ALL BISA HI-TOUCH SAMA ONG!!!  nah satu lagi, gue gamau nonton konser hanya liat dari layar. kalo ga dapet zone depan mending gue nonton dari yutup aja. lau nyari2 jastip tiket karna gue tau gue kurang lucky untuk beli2 ginian and dapet nih @its.navystore )
24/2 ticket open! gue online bareng si jastip, sempet ga dapet zone yang gue mau, hampir nyerah tapi emang si jastip lucky kayanya, dapet zone 1 walaupun seat O, seat paling depan itu A. yaudah gpp gue dapet duduk tengah ini) makasih lagi yaaa
3/4 announce gue ga dapet photogroup&signed poster

tapi semuanya bener2 dipermudah disana. emang Tuhan ngijinin gue untuk have fun kayanya 
 #OSWETERNITYINSG
#ONGSEONGWU1stFanmeetinginSG
#ONGSEONGWU1stFanmeetingTour
# #OngSeongWu # #
# #","['osweternityinsg', 'ongseongwu1stfanmeetinginsg', 'ongseongwu1stfanmeetingtour', '옹성우', 'ongseongwu', '邕圣祐', '邕聖祐', 'オンソンウ', 'ซองอ']",146,"['Si maniiisss. Cocok lah sama korea dancer ... key pop addict @ardyberton  @knasaor', '', '@elisabethtrision KK Tlg follback ']"
53,elisabethtrision,#DoWhatYouCant #NeverAfraid,"['dowhatyoucant', 'neverafraid']",65,[]
54,elisabethtrision,"Happy Birthday! Wish you have a long life~



Bung 7th & Bing 6th

#birthday #minipom #shihtzu #pet #dog #starbucks","['birthday', 'minipom', 'shihtzu', 'pet', 'dog', 'starbucks']",560,"['Hbd Bubung Bibing ', 'hepii bertdeyyyy bungbung bingbing', 'happy bday bubung bibing', 'Ahhh lucu banget....kangen gendong bubung dan bibing', 'Bung bing emang bisa minum sbux ', 'happyy birthday bubung dan bibingg dari aunty tersayang', 'happyy birthday bubung dan bibingg dari aunty tersayang']"
55,elisabethtrision,one of my best team ,[],436,"['Akhirnya dipost juga... ', '']"
56,elisabethtrision,"my auto happiness 
 @kamelia.kanna",[],448,['Bwa pulang aj ibet..']
57,elisabethtrision,feel so grateful to have them beside me ,[],453,"['Uhh Toyong akohhhh... , last pict bkin ngakak', '@elisabethtrision KK Tlg follback ']"
58,elisabethtrision,[Proverbs 12:10a]  @knasaor,[],466,['Ibet awas di tubruk y..']
59,elisabethtrision,when aurora doesnt sleep anymore,[],432,"['Begadang lagi.... begadang terooosss ', 'Aku juga ga tidur2 dari kemaren, berarti aku aurora juga? ']"
60,elisabethtrision,,[],421,[]
61,elisabethtrision,,[],410,[]
62,elisabethtrision,,[],411,[]
