,Akun,Post,Tag,Likes,Comments
10,sutiiii_copi.one,,[],36,[]
11,sutiiii_copi.one,,[],27,['Begitu dengar langsung cabut...']
12,sutiiii_copi.one,,[],13,[]
13,sutiiii_copi.one,,[],22,['Boga nya enggak ada pak wkwk']
14,sutiiii_copi.one,,[],49,[]
15,sutiiii_copi.one,,[],31,['Siapa tuuu']
16,sutiiii_copi.one,,[],35,[]
17,sutiiii_copi.one,,[],45,[]
18,sutiiii_copi.one,,[],31,"['Weww', 'Asekkk', '@reginapinka__ ']"
19,sutiiii_copi.one,,[],36,['Wew']
20,sutiiii_copi.one,,[],44,[]
21,sutiiii_copi.one,Thank u!,[],47,"['Pibesdeyyyyyy bapak kecayangan acuuuu', 'Pibesdeyyy bapa tercintah, cie umur nambah jiwa muda teros ', 'happy birthday bapake wish u all the best', 'Happy birthday pak yonio ', 'Happy birthday ']"
22,sutiiii_copi.one,Wew,[],43,['Wewww']
23,sutiiii_copi.one,,[],49,[]
24,sutiiii_copi.one,,[],36,[]
25,sutiiii_copi.one,,[],47,[]
26,sutiiii_copi.one,,[],52,[]
27,sutiiii_copi.one,,[],48,[]
28,sutiiii_copi.one,,[],29,[]
29,sutiiii_copi.one,,[],34,[]
30,sutiiii_copi.one,,[],28,[]
31,sutiiii_copi.one,,[],35,[]
32,sutiiii_copi.one,,[],48,[]
33,sutiiii_copi.one,,[],43,"['@nopaannn ', 'Gak ada lawan ', 'Sumpah bertho wkwk']"
34,sutiiii_copi.one,,[],29,[]
35,sutiiii_copi.one,,[],32,[]
36,sutiiii_copi.one,,[],37,[]
37,sutiiii_copi.one,,[],37,[]
38,sutiiii_copi.one,,[],37,[]
39,sutiiii_copi.one,,[],21,[]
40,sutiiii_copi.one,,[],25,[]
41,sutiiii_copi.one,,[],42,[]
42,sutiiii_copi.one,,[],31,[]
43,sutiiii_copi.one,,[],34,['Poto saya mana pak']
44,sutiiii_copi.one,,[],31,[]
45,sutiiii_copi.one,,[],39,['Pak foto saya kok gak di post @badar_no._sutiyono']
46,sutiiii_copi.one,,[],24,[]
47,asyaabyyaa,v i n t a g e,[],245,"['sygkuuu', 'Syaaa', 'cinta', 'cakep bgt cewe', '', 'lb']"
48,asyaabyyaa,,[],219,"['Shining shimmering splendid', '', 'UwwWwwuuu bgt iyem', 'gemes bgt', 'Uwu bgt asyaa', 'Shinning shimmering splendid', 'sayang', 'Kak, kalo difakturkan tagihan saldo normalnya debit apa kredit?']"
49,asyaabyyaa,slay in pink,[],217,"['Asya, minta label', 'fb asyaaaaaa']"
50,asyaabyyaa,,[],220,"['bby asyaaa', 'Shining shimmering splendid']"
51,asyaabyyaa,,[],207,"['Uda bisa makeup skrg asikkk', 'KA ASYA', 'Pensil alis lu ada di gua sya wkwk :v', 'asyaaa', '', 'Kak, aku les mekap kak', 'cantiknyaa', 'nielkissed']"
52,asyaabyyaa,,[],225,"['plis sya matanya bagus bgt', 'Aku kira nakyung', 'classy~']"
